,LEAID,LEA_NAME,SCH_NAME,STUDENTS_IN_POVERTY,G09,G10,G11,G12,G13,UG,AE,TOTAL_STUDENTS,POVERTY_RATE
186,5304920,Mead School District,Mt Spokane High School,319.0,400.0,386.0,397.0,428.0,,,,1611.0,0.1980136561142148
187,5304950,Medical Lake School District,Medical Lake High School,166.0,136.0,126.0,122.0,133.0,,,,517.0,0.32108317214700194
188,5304980,Mercer Island School District,Mercer Island High School,54.0,392.0,380.0,398.0,381.0,,,,1551.0,0.03481624758220503
189,5305010,Meridian School District,Meridian High School,159.0,138.0,113.0,107.0,99.0,,,,457.0,0.3479212253829322
190,5305020,Methow Valley School District,Liberty Bell Jr Sr High,80.0,39.0,49.0,46.0,37.0,,,,269.0,0.29739776951672864
191,5305130,Monroe School District,Monroe High School,475.0,378.0,412.0,377.0,413.0,,,,1580.0,0.30063291139240506
192,5305130,Monroe School District,Shoreline-Monroe High School,41.0,0.0,0.0,13.0,236.0,,,,249.0,0.1646586345381526
193,5305130,Monroe School District,Youth Re-Engagement,33.0,0.0,0.0,12.0,235.0,,,,247.0,0.13360323886639677
194,5305160,Montesano School District,Montesano Jr-Sr High,230.0,98.0,115.0,108.0,123.0,,,,692.0,0.33236994219653176
195,5305190,Morton School District,Morton Junior-Senior High,77.0,20.0,28.0,28.0,27.0,,,,152.0,0.506578947368421
196,5305220,Moses Lake School District,Moses Lake High School,1417.0,642.0,651.0,565.0,561.0,,,,2419.0,0.5857792476229847
197,5305220,Moses Lake School District,Skill Source Reingagement Program,135.0,0.0,0.0,32.0,148.0,,,,180.0,0.75
198,5305250,Mossyrock School District,Mossyrock Jr./Sr. High School,131.0,47.0,43.0,33.0,27.0,,,,243.0,0.5390946502057613
199,5305280,Mount Adams School District,White Swan High School,237.0,65.0,56.0,59.0,59.0,,,,239.0,0.9916317991631799
200,5305310,Mount Baker School District,Mount Baker Senior High,264.0,119.0,144.0,129.0,136.0,,,,528.0,0.5
201,5305370,East Valley School District (Yakima),East Valley High School,507.0,255.0,228.0,228.0,196.0,,,,907.0,0.5589856670341786
202,5305400,Mount Vernon School District,Mount Vernon High School,1187.0,513.0,493.0,474.0,475.0,,,,1957.0,0.6065406234031682
