LEAID,LEA_NAME,SCH_NAME,GRADE_LEVEL,ENROLLMENT,DISTRICT_POVERTY_RATE
5301110,Central Valley School District,University High School,09,424.0,0.257
5301110,Central Valley School District,University High School,10,415.0,0.257
5301110,Central Valley School District,University High School,11,401.0,0.257
5301110,Central Valley School District,University High School,12,381.0,0.257
5301110,Central Valley School District,University High School,AE,,0.257
5301110,Central Valley School District,University High School,UG,,0.257
5301140,Centralia School District,Centralia High School,09,252.0,0.734
5301140,Centralia School District,Centralia High School,10,257.0,0.734
5301140,Centralia School District,Centralia High School,11,215.0,0.734
5301140,Centralia School District,Centralia High School,12,222.0,0.734
5301140,Centralia School District,Centralia High School,AE,,0.734
5301140,Centralia School District,Centralia High School,UG,,0.734
5301170,Chehalis School District,Green Hill Academic School,09,0.0,0.368
5301170,Chehalis School District,Green Hill Academic School,10,1.0,0.368
5301170,Chehalis School District,Green Hill Academic School,11,3.0,0.368
5301170,Chehalis School District,Green Hill Academic School,12,109.0,0.368
5301170,Chehalis School District,Green Hill Academic School,AE,,0.368
5301170,Chehalis School District,Green Hill Academic School,UG,,0.368
5301170,Chehalis School District,W F West High School,09,237.0,0.368
5301170,Chehalis School District,W F West High School,10,253.0,0.368
5301170,Chehalis School District,W F West High School,11,239.0,0.368
5301170,Chehalis School District,W F West High School,12,230.0,0.368
5301170,Chehalis School District,W F West High School,AE,,0.368
5301170,Chehalis School District,W F West High School,UG,,0.368
5301200,Lake Chelan School District,Chelan High School,09,106.0,0.547
5301200,Lake Chelan School District,Chelan High School,10,100.0,0.547
5301200,Lake Chelan School District,Chelan High School,11,113.0,0.547
5301200,Lake Chelan School District,Chelan High School,12,105.0,0.547
5301200,Lake Chelan School District,Chelan High School,AE,,0.547
5301200,Lake Chelan School District,Chelan High School,UG,,0.547
5301230,Cheney School District,Cheney High School,09,371.0,0.413
5301230,Cheney School District,Cheney High School,10,348.0,0.413
5301230,Cheney School District,Cheney High School,11,332.0,0.413
5301230,Cheney School District,Cheney High School,12,333.0,0.413
5301230,Cheney School District,Cheney High School,AE,,0.413
5301230,Cheney School District,Cheney High School,UG,,0.413
5301260,Chewelah School District,Jenkins Junior/Senior High,09,45.0,0.506
5301260,Chewelah School District,Jenkins Junior/Senior High,10,53.0,0.506
5301260,Chewelah School District,Jenkins Junior/Senior High,11,45.0,0.506
5301260,Chewelah School District,Jenkins Junior/Senior High,12,42.0,0.506
5301260,Chewelah School District,Jenkins Junior/Senior High,AE,,0.506
5301260,Chewelah School District,Jenkins Junior/Senior High,UG,,0.506
5301290,Chimacum School District,Chimacum Junior/Senior High School,09,50.0,0.479
5301290,Chimacum School District,Chimacum Junior/Senior High School,10,44.0,0.479
5301290,Chimacum School District,Chimacum Junior/Senior High School,11,57.0,0.479
5301290,Chimacum School District,Chimacum Junior/Senior High School,12,60.0,0.479
5301290,Chimacum School District,Chimacum Junior/Senior High School,AE,,0.479
5301290,Chimacum School District,Chimacum Junior/Senior High School,UG,,0.479
5301320,Clarkston School District,Charles Francis Adams High School,09,227.0,0.517
5301320,Clarkston School District,Charles Francis Adams High School,10,205.0,0.517
5301320,Clarkston School District,Charles Francis Adams High School,11,194.0,0.517
5301320,Clarkston School District,Charles Francis Adams High School,12,189.0,0.517
5301320,Clarkston School District,Charles Francis Adams High School,AE,,0.517
5301320,Clarkston School District,Charles Francis Adams High School,UG,,0.517
5301350,Cle Elum-Roslyn School District,Cle Elum Roslyn High School,09,63.0,0.336
